meter_id,X2018_6_1_1h,X2018_6_1_2h,X2018_6_1_3h,X2018_6_1_4h,X2018_6_1_5h,X2018_6_1_6h,X2018_6_1_7h,X2018_6_1_8h,X2018_6_1_9h,X2018_6_1_10h,X2018_6_1_11h,X2018_6_1_12h,X2018_6_1_13h,X2018_6_1_14h,X2018_6_1_15h,X2018_6_1_16h,X2018_6_1_17h,X2018_6_1_18h,X2018_6_1_19h,X2018_6_1_20h,X2018_6_1_21h,X2018_6_1_22h,X2018_6_1_23h,X2018_6_1_24h,X2018_6_1_d,X2018_6_2_d,X2018_6_3_d,X2018_6_4_d,X2018_6_5_d,X2018_6_6_d,X2018_6_7_d,X2018_6_8_d,X2018_6_9_d,X2018_6_10_d,X2018_6_m
X2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
