meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,6.853865356,6.66242148,6.535229176,6.450732413,6.394607083,6.357334734,6.332590299,6.316170736,6.305283098,6.298071456,6.293302534,6.290156814,6.288089722,6.286739383,6.285865332,6.285307776,6.284960533,6.284753044,6.284638423,6.284585513,6.28457361,6.284588957,6.284622411,6.284667898,152.9614029,151.973156,151.4959597,151.2757347,151.1847224,151.1586821,151.1653115,151.1883682,151.2196851,151.2551555,4700.315536,4734.280821,4617.861104,4809.298795,4690.459144
X7,1.258811063,1.275497278,1.289772506,1.301985109,1.312433117,1.321371494,1.329018367,1.335560346,1.341157076,1.345945135,1.350041369,1.353545739,1.356543763,1.359108604,1.361302851,1.363180052,1.364786017,1.366159937,1.367335339,1.368340907,1.369201181,1.369937155,1.370566787,1.371105445,50.64359576,45.3986797,42.73659755,41.39017392,40.71392785,40.37906062,40.21808686,40.14569194,40.11841781,40.11412756,1268.281828,1265.220143,1242.315902,1302.232722,1278.134528
X10,2.166754279,2.297002152,2.4086264,2.504289941,2.586274933,2.656537218,2.716752978,2.768358726,2.812585574,2.850488601,2.882972025,2.910810774,2.93466897,2.955115778,2.972638979,2.987656607,3.000526924,3.011556965,3.021009865,3.029111132,3.036054032,3.042004194,3.047103566,3.051473799,85.93226102,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,2303.938637,2291.939922,2218.006376,2291.939922,2218.006376
X16,3.294516957,3.381435935,3.454943102,3.517107935,3.569680582,3.614141141,3.651741328,3.683539714,3.710431531,3.733173876,3.752407021,3.768672445,3.782428074,3.794061177,3.803899263,3.812219308,3.819255551,3.825206083,3.830238435,3.834494282,3.838093441,3.841137241,3.843711376,3.845888315,120.517161,115.8075188,113.789222,112.9418127,112.6038055,112.4874171,112.4674455,112.4894205,112.5296447,112.5778084,3514.788138,3552.022654,3487.105398,3654.661835,3586.433638
X18,2.5008095,2.510077758,2.517351425,2.523059562,2.527538935,2.531053864,2.533811814,2.535975621,2.537673091,2.539004539,2.540048702,2.540867377,2.541509071,2.542011853,2.542405605,2.542713782,2.54295479,2.54314308,2.543289991,2.543404425,2.543493368,2.543562303,2.543615534,2.543656439,64.3293045,63.21232111,62.6035065,62.27167057,62.09080256,61.99221999,61.93848731,61.90920018,61.89323716,61.88453647,1923.494139,1918.09749,1856.223377,1918.09749,1856.223377
X20,0.513620601,0.381654066,0.308849467,0.268683908,0.246524976,0.234300118,0.227555787,0.223835009,0.221782293,0.22064983,0.220025062,0.219680384,0.219490228,0.219385322,0.219327445,0.219295516,0.219277901,0.219268182,0.219262821,0.219259863,0.219258231,0.219257331,0.219256834,0.21925656,10.89625799,63.0606164,13.18855863,61.20775763,15.31246502,59.51645222,17.28138104,57.97384079,19.10764367,56.56808756,1185.47684,1292.506609,1326.305153,1454.4549,1488.827802
X26,1.175883391,1.221025174,1.221025174,1.221025174,1.399708327,1.461030544,1.426040657,1.42891631,1.430762235,1.367833404,1.367833404,1.367833404,1.406521277,1.406521277,1.406521277,1.416512912,1.423571527,1.435695859,1.460917099,1.458591174,1.428474952,1.441895099,1.364667927,1.364667927,34.51161187,35.21422539,35.30986718,35.32288621,35.3246584,35.32489964,35.32493248,35.32493695,35.32493756,35.32493764,1094.131584,1095.073067,1059.74813,1095.073067,1059.74813
X30,5.367225813,5.114352966,4.892236758,4.697136293,4.525765677,4.375238676,4.243020104,4.126883127,4.02487176,3.93526792,3.856562494,3.787429919,3.726705862,3.673367603,3.626516817,3.585364438,3.549217377,3.517466842,3.489578089,3.465081414,3.443564241,3.424664178,3.408062908,3.393480831,124.6049012,115.7323726,113.5196619,113.0199866,112.9609374,113.0152259,113.098667,113.1896068,113.2824754,113.3758401,3548.29802,3621.935567,3590.684836,3798.813095,3761.856637
X31,0.217912114,0.276386854,0.322780436,0.359588885,0.388792534,0.41196257,0.430345568,0.444930551,0.456502208,0.465683105,0.472967186,0.478746341,0.483331496,0.486969335,0.48985558,0.492145513,0.493962335,0.495403793,0.496547439,0.497454802,0.4981747,0.498745863,0.499199022,0.499558556,11.24211264,11.32630251,11.401267,11.46801699,11.52745264,11.58037542,11.62749901,11.66945887,11.70682084,11.74008875,365.5035233,372.1362905,360.3075073,372.3228656,360.3125984
X32,0.166315407,0.243417819,0.302579791,0.347975764,0.382808856,0.409536871,0.430045724,0.445782512,0.457857613,0.46712304,0.474232558,0.47968781,0.483873716,0.487085632,0.489550189,0.491441285,0.492892355,0.494005785,0.494860138,0.495515698,0.49601872,0.496404698,0.496700864,0.496928118,11.48923643,11.51123993,11.53213987,11.5519916,11.57084768,11.58875805,11.60577015,11.62192902,11.63727746,11.65185612,362.7938987,368.3519569,357.5555035,369.7053085,357.8263876
