meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,6.443344885,6.443344885,6.172173941,6.140685704,6.110990993,6.00821083,5.978516119,6.090529817,6.016458346,6.091261004,5.992459613,6.095078799,6.311429347,6.311429347,6.311429347,6.311429347,6.311429347,6.311429347,6.340735453,6.311429347,6.311429347,6.340735453,6.311429347,6.311429347,151.2083413,151.2902082,144.9320605,144.9320605,144.9320605,151.2902082,150.6095501,138.2246161,144.3332693,144.3332693,4700.315536,4734.280821,4617.861104,4809.298795,4690.459144
X7,1.324154103,1.392672279,1.362448467,1.324154103,1.392672279,1.368408815,1.362448467,1.429912395,1.43296569,1.43296569,1.43296569,1.43296569,1.43296569,1.396421053,1.396421053,1.396421053,1.396421053,1.396421053,1.396421053,1.392672279,1.392672279,1.392672279,1.392672279,1.371929169,33.48452773,33.48452773,33.14596731,32.01107356,33.48452773,33.48452773,33.48452773,32.65631988,33.48452773,33.48452773,1268.281828,1265.220143,1242.315902,1302.232722,1278.134528
X10,2.613602556,3.81631308,3.81631308,3.925877412,3.81631308,3.437189051,3.327624719,3.437189051,5.333005423,5.612195372,5.612195372,5.08395183,5.612195372,5.612195372,5.612195372,5.295087268,5.295087268,5.295087268,5.295087268,3.258211586,3.258211586,3.258211586,3.258211586,3.258211586,88.69655115,63.9137518,67.82271316,67.82271316,64.53283096,87.69739604,89.13988348,72.20336522,85.47938309,85.92271542,2303.938637,2291.939922,2218.006376,2291.939922,2218.006376
X16,3.716996865,3.962426621,4.046751762,3.962426621,4.00459218,4.060676059,3.828424791,4.00459218,4.271202759,4.392443709,4.811454759,4.607049847,5.036207551,5.036207551,5.036207551,5.028494574,5.028494574,4.59933687,5.061110659,5.036207551,5.036207551,4.742852933,4.061820198,4.066860944,90.33140353,90.05463341,90.05463341,90.05463341,90.05463341,90.33140353,90.33140353,90.33140353,90.05463341,90.05463341,3514.788138,3552.022654,3487.105398,3654.661835,3586.433638
X18,2.570956293,2.557992485,2.56176804,2.560509188,2.557992485,2.57944476,2.609416006,2.601687208,2.5833428,2.574865882,2.560631672,2.5833428,2.560631672,2.609416006,2.609416006,2.609416006,2.609416006,2.609416006,2.609416006,2.550016246,2.550016246,2.550016246,2.550016246,2.550016246,61.89826011,60.67111228,60.67111228,60.67111228,60.67111228,61.89826011,61.89826011,60.67111228,61.89826011,61.89826011,1923.494139,1918.09749,1856.223377,1918.09749,1856.223377
X20,0.88295671,0.88295671,0.88295671,0.242355081,0.269730555,0.252220546,0.296242703,0.88295671,0.886690701,0.459930538,0.344894211,0.428476166,0.465871053,0.466561584,0.891897047,0.88295671,0.211237934,0.43860817,0.436004351,0.436004351,0.436004351,0.436004351,0.891897047,0.468366324,20.10042401,23.84554875,20.10042401,11.75226613,20.10042401,20.10042401,23.84554875,11.75226613,11.75226613,20.10042401,1185.47684,1292.506609,1326.305153,1454.4549,1488.827802
X26,1.244759534,1.25503014,1.25503014,1.25503014,1.416628149,1.432999784,1.427988413,1.431365318,1.444609024,1.427245578,1.427245578,1.427245578,1.427245578,1.427245578,1.427245578,1.44169426,1.432484693,1.444609024,1.444609024,1.444609024,1.432484693,1.444609024,1.427245578,1.427245578,34.05982792,33.64355965,34.21012524,34.05982792,34.21012524,34.20382408,34.20382408,34.20382408,33.64355965,34.05982792,1094.131584,1095.073067,1059.74813,1095.073067,1059.74813
X30,3.445562853,2.294164541,2.294164541,2.294164541,2.294164541,2.294164541,2.294164541,2.294164541,2.294164541,2.294164541,3.741774137,4.775987193,4.775987193,4.775987193,4.775987193,4.775987193,4.775987193,4.775987193,4.775987193,4.775987193,4.775987193,4.775987193,4.775987193,3.620251187,84.45613599,84.45613599,84.45613599,84.45613599,84.45613599,84.45613599,84.45613599,84.45613599,84.45613599,84.45613599,3548.29802,3621.935567,3590.684836,3798.813095,3761.856637
X31,0.288210868,0.405823746,0.405472436,0.407464474,0.408108772,0.492985407,0.490756162,0.496415071,0.494318198,0.557041712,0.545678975,0.565323467,0.564899166,0.55982856,0.547063497,0.557309498,0.524017981,0.502587696,0.519649967,0.490432039,0.486217043,0.492980209,0.499828451,0.403987045,12.08267707,12.08267707,11.71939724,11.65904633,11.33658669,11.65904633,11.65253069,12.06327898,11.61223734,12.03920183,365.5035233,372.1362905,360.3075073,372.3228656,360.3125984
X32,0.293648877,0.267646439,0.267775135,0.267775135,0.270397479,0.493831939,0.514719603,0.52869994,0.544925838,0.572304515,0.568662786,0.586166049,0.563708242,0.549028557,0.544866342,0.568285909,0.563708242,0.563748744,0.563748744,0.543537783,0.543537783,0.488181706,0.482326185,0.325661715,11.44403916,11.44676414,11.4394464,11.41339797,11.41339797,11.44676414,11.4394464,11.44676414,11.44403916,11.44676414,362.7938987,368.3519569,357.5555035,369.7053085,357.8263876
