meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,7.15444231,7.033098221,6.980120659,7.015205383,7.119657516,7.233257294,7.225847244,7.065960407,6.732726097,6.476750851,6.398519039,6.637375355,6.815039635,7.000909328,7.257819653,7.143452168,7.228837967,6.650004864,6.494970322,6.7491045,7.46444416,7.036632061,6.80448103,6.795343876,152.9614029,151.973156,151.4959597,151.2757347,151.1847224,151.1586821,151.1653115,151.1883682,151.2196851,151.2551555,4700.315536,4734.280821,4617.861104,4809.298795,4690.459144
X7,1.302564979,1.302193046,1.302061915,1.302007914,1.301984787,1.301974297,1.301969647,1.30196774,1.301965833,1.30196321,1.30196166,1.301959276,1.301954031,1.30194664,1.301934361,1.301918387,1.30189395,1.301869512,1.301738024,1.352477908,1.363566875,1.370229959,1.375844002,1.388270974,50.64359576,45.3986797,42.73659755,41.39017392,40.71392785,40.37906062,40.21808686,40.14569194,40.11841781,40.11412756,1268.281828,1265.220143,1242.315902,1302.232722,1278.134528
X10,2.217998028,2.05226016,2.078962803,2.091159105,2.072356462,2.069118977,2.113571644,2.214963675,2.344516993,2.485725164,2.616448641,2.729086161,2.833007097,2.914578438,2.976187229,3.020618677,3.050494432,3.070372581,3.08371973,3.030233622,2.900179863,2.791807175,2.750926256,2.719362259,85.93226102,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,2303.938637,2291.939922,2218.006376,2291.939922,2218.006376
X16,3.100927591,2.947773695,2.838590145,2.761669636,2.706879616,2.667567492,2.640253544,2.619906187,2.605208397,2.594694614,2.586759567,2.580434322,2.574599266,2.565786839,2.554008961,2.606518507,3.361548185,4.111614704,4.261428833,3.690164804,3.719477177,3.907490969,4.096104622,4.178475857,120.517161,115.8075188,113.789222,112.9418127,112.6038055,112.4874171,112.4674455,112.4894205,112.5296447,112.5778084,3514.788138,3552.022654,3487.105398,3654.661835,3586.433638
X18,2.748380899,2.748613358,2.748854876,2.749094009,2.749302387,2.749486923,2.749653578,2.749902964,2.750160217,2.750380039,2.750537872,2.750601292,2.750609159,2.750636578,2.750567913,2.750477076,2.750372648,2.750214577,2.750854731,2.751003504,2.751028538,2.75102663,2.751021385,2.751024723,64.3293045,63.21232111,62.6035065,62.27167057,62.09080256,61.99221999,61.93848731,61.90920018,61.89323716,61.88453647,1923.494139,1918.09749,1856.223377,1918.09749,1856.223377
X20,3.129092455,1.946160913,0.783211827,0.049670488,-0.345361501,-0.768636763,-1.474563003,-1.713207603,-1.064495564,-0.564234912,-0.109634571,0.160723388,0.370322049,-0.076761521,0.063380279,0.312960833,0.467017293,0.580228806,0.699720621,0.943220913,1.056457162,1.084756255,1.129412055,1.125992656,10.89625799,63.0606164,13.18855863,61.20775763,15.31246502,59.51645222,17.28138104,57.97384079,19.10764367,56.56808756,1185.47684,1292.506609,1326.305153,1454.4549,1488.827802
X26,1.176651597,1.273577094,1.392145634,1.455650926,1.498338699,1.52440691,1.537738681,1.546194315,1.566580296,1.608170271,1.664269686,1.682596207,1.650725007,1.588564038,1.615059376,1.664113045,1.70429635,1.698926806,1.662401438,1.608642101,1.502019644,1.108522654,0.99223429,0.968183935,34.51161187,35.21422539,35.30986718,35.32288621,35.3246584,35.32489964,35.32493248,35.32493695,35.32493756,35.32493764,1094.131584,1095.073067,1059.74813,1095.073067,1059.74813
X30,7.841543674,7.80905962,7.810524464,7.746836662,7.62048769,7.390100956,7.038311005,6.54962492,5.184605598,4.977357864,4.850805759,4.798929691,4.781234741,4.775860786,4.774260044,4.773899078,4.773413658,4.772630692,4.771406651,4.769771576,4.768471718,4.767840385,4.764037132,4.758450985,124.6049012,115.7323726,113.5196619,113.0199866,112.9609374,113.0152259,113.098667,113.1896068,113.2824754,113.3758401,3548.29802,3621.935567,3590.684836,3798.813095,3761.856637
X31,0.169237837,0.136489078,0.12656939,0.19802092,0.277160108,0.336649984,0.380108446,0.411070168,0.433203131,0.449270427,0.461120456,0.470110267,0.477087736,0.482631296,0.487091035,0.490696311,0.493602097,0.495930761,0.497780651,0.499225289,0.500332475,0.501165569,0.501491666,0.286634386,11.24211264,11.32630251,11.401267,11.46801699,11.52745264,11.58037542,11.62749901,11.66945887,11.70682084,11.74008875,365.5035233,372.1362905,360.3075073,372.3228656,360.3125984
X32,0.30915156,0.402257174,0.437113822,0.501321912,0.524371147,0.526002884,0.520757735,0.513548136,0.506877959,0.50170511,0.498192817,0.496112078,0.495101064,0.49480319,0.494928479,0.49525708,0.495658368,0.496049941,0.496388286,0.496657103,0.496823281,0.496695101,0.494455993,0.237045988,11.48923643,11.51123993,11.53213987,11.5519916,11.57084768,11.58875805,11.60577015,11.62192902,11.63727746,11.65185612,362.7938987,368.3519569,357.5555035,369.7053085,357.8263876
