Time,X40,X84,X77,X93,X89,X15,X23,X60,X27,X6,X610,X1362,X476,X237,X1032,X1287,X428,X768,X989,X616,X41,X50,X30,X37,X18,X231,X116,X149,X371,X218
2018-02-15 00:00:00,10.592436806328863,0.16399999999999998,0.561,0.34,1.396,2.284563616771723,2.6918586730886784,2.094527110359435,4.322732933388828,4.749094801348329,0.066,0.132,0.091,0.318,0.277,0.096,0.02,1.339,0.113,0.35100000000000003,2.3710493015036134,6.545217930788381,4.803181796623735,4.499756367332668,2.495460086538454,0.327,0.199,0.261,0.142,0.361
2018-02-15 01:00:00,10.592436806328863,0.161,0.486,0.344,1.394,2.284563616771723,2.6918586730886784,2.094527110359435,4.322732933388828,4.749094801348329,0.126,0.278,0.244,0.202,0.474,0.338,0.206,0.599,0.17800000000000002,1.495,2.3343812194485047,5.984280186473062,4.529291064723587,4.341709406772777,2.5006581841056787,0.202,0.168,0.391,0.319,0.241
2018-02-15 02:00:00,10.592436806328863,0.123,0.569,0.35,1.4069999999999998,2.284563616771723,2.6918586730886784,2.094527110359435,4.322732933388828,4.749094801348329,0.227,0.282,0.252,0.19,0.302,0.222,0.134,0.515,0.223,0.8590000000000001,2.302862308343727,5.5441964310217795,4.3051305364191865,4.21671961280801,2.5048384203825966,0.213,0.123,0.248,0.306,0.284
2018-02-15 03:00:00,10.592436806328863,0.115,0.59,0.333,1.396,2.284563616771723,2.6918586730886784,2.094527110359435,4.322732933388828,4.749094801348329,0.125,0.28600000000000003,0.254,0.163,0.349,0.282,0.223,0.458,0.18600000000000005,0.4920000000000001,2.2757694880610115,5.198928682907413,4.121670723445206,4.117872735019208,2.5081976973405946,0.154,0.113,0.215,0.28,0.295
2018-02-15 04:00:00,10.592436806328863,0.13,0.519,0.345,1.401,2.284563616771723,2.6918586730886784,2.094527110359435,4.322732933388828,4.749094801348329,0.135,0.266,0.251,0.196,0.305,0.257,0.266,0.415,0.212,0.471,2.2524812180940885,4.928048841487857,3.9715216172174483,4.039700710418957,2.510894826902145,0.141,0.16699999999999998,0.211,0.294,0.267
2018-02-15 05:00:00,10.592436806328863,0.113,0.517,0.34700000000000003,1.396,2.284563616771723,2.6918586730886784,2.094527110359435,4.322732933388828,4.749094801348329,0.087,0.292,0.241,0.198,0.284,0.258,0.083,0.475,0.207,0.374,2.232463238703501,4.715530038650878,3.8486350093247848,3.977879178299764,2.513057899337455,0.154,0.182,0.219,0.433,0.34700000000000003
2018-02-15 06:00:00,10.592436806328863,0.116,0.501,0.342,1.409,2.284563616771723,2.6918586730886784,2.094527110359435,4.322732933388828,4.749094801348329,0.104,0.28800000000000003,0.423,0.183,0.313,0.215,0.08900000000000001,0.564,0.29,0.315,2.215256314382754,4.548798393643348,3.748060861540925,3.9289882629997126,2.5147902262686403,0.15,0.226,0.214,0.3,0.706
2018-02-15 07:00:00,10.592436806328863,0.114,0.556,0.337,1.395,2.284563616771723,2.6918586730886784,2.094527110359435,4.322732933388828,4.749094801348329,0.568,0.615,0.665,0.15,0.5,0.218,0.101,0.479,0.32,0.355,2.200465698466787,4.4179890672410975,3.665747911611632,3.890323391442207,2.5161751340189777,0.18600000000000005,0.115,0.266,0.418,0.514
2018-02-15 08:00:00,10.592436806328863,0.131,0.539,0.345,1.382,2.284563616771723,2.6918586730886784,2.094527110359435,4.322732933388828,4.749094801348329,0.677,0.402,0.916,0.193,0.35200000000000004,0.253,0.335,0.563,0.828,1.154,2.187752077188759,4.315362598984054,3.5983804829497115,3.8597456801561023,2.5172798297042687,0.134,0.115,0.404,0.4,0.675
2018-02-15 09:00:00,10.592436806328863,0.223,0.511,0.34600000000000003,1.3969999999999998,2.284563616771723,2.6918586730886784,2.094527110359435,4.322732933388828,4.749094801348329,0.441,0.407,0.785,0.23,0.258,0.246,0.358,0.263,0.601,2.718,2.176823785431373,4.234846994503936,3.5432449247123112,3.835563615407592,2.518158519441338,0.151,0.168,0.354,0.535,1.224
2018-02-15 10:00:00,10.592436806328863,3.154,8.9,0.329,1.395,2.284563616771723,2.6918586730886784,2.094527110359435,4.322732933388828,4.749094801348329,0.575,0.343,0.7809999999999999,0.362,0.617,0.244,0.225,0.201,0.382,1.751,2.1674301155931084,4.171678470097915,3.498120302286753,3.8164394811638735,2.518854923349198,0.14400000000000002,0.16399999999999998,0.275,0.575,0.512
